# m44 chain start Sat Sep 26 03:43:43 EDT 2026  isle md5 c1fc6d308d36fbcd9f818ce66b8c6893
proof-34 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-35 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-36 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-37 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-38 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-39 EXIT=0 wall=156s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-40 EXIT=0 wall=156s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-41 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-42 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-43 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-44 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-45 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
