# Mario Party 4 (USA Rev 1) -- m444dll's demo ball, read out of a Dolphin
# reference capture with MemoryWatcher.  PLAN.md 27.1.
#
# Columns are the module's own lbl_1_bss_1888 (velocity, Vec) and lbl_1_bss_1894
# (position, Vec), read through the MemoryWatcher pointer chain
#     omDLLinfoTbl[slot] (0x801901E0 + 4*slot) -> omDllData.bss (+8) -> offset
# on every frame where omcurovl == 0x34 (DLL_m444dll).
#
# CHANGE ROWS ONLY: a row is written when the six words differ from the previous
# frame's.  A gap therefore means the ball state was BIT-IDENTICAL over that
# span -- which is what the pre-launch hold and the post-landing wait look like.
#
# Capture: port/ref/movies/m444-drop.txt, four CPU players (GWPlayerCfg[i].iscom
# poked to 1), GWSystem.mg_next parked at 43 from frame 9000, pinned reference
# user directory, CustomRTC 1041472800.  frame = the game's GlobalCounter.
frame,velx,vely,velz,posx,posy,posz
12399,-3.138350,1.830026,0.000000,-118.525284,-69.638863,0.000000
12400,-0.469142,-2.123912,0.000000,-121.702927,-70.256676,0.000000
12401,0.877372,-1.007444,0.000000,-122.172066,-72.380585,0.000000
12402,1.736274,0.353665,0.000000,-121.294693,-73.388031,0.000000
12403,1.996687,1.947450,0.000000,-119.558418,-73.034363,0.000000
12404,0.440094,2.993888,0.000000,-117.561729,-71.086914,0.000000
12405,0.593737,-1.018201,0.000000,-115.538765,-69.645470,0.000000
12406,-1.055393,-0.639091,0.000000,-114.945030,-70.663673,0.000000
12407,-2.482287,0.150894,0.000000,-116.000427,-71.302765,0.000000
12408,-2.659411,1.968853,0.000000,-118.482712,-71.151871,0.000000
12409,-0.045763,-2.637437,0.000000,-121.156822,-69.462486,0.000000
12410,1.232769,-1.282921,0.000000,-121.202583,-72.099922,0.000000
12411,1.665929,0.388509,0.000000,-119.969810,-73.382843,0.000000
12412,1.249224,2.028390,0.000000,-118.303879,-72.994331,0.000000
12413,-0.443896,2.719051,0.000000,-117.054657,-70.965942,0.000000
12414,-3.115458,-2.718678,0.000000,-118.289284,-69.247734,0.000000
12415,-1.462254,-1.453020,0.000000,-121.404739,-71.966415,0.000000
12416,-0.189193,-0.371807,0.000000,-122.866997,-73.419434,0.000000
12417,0.900224,0.607858,0.000000,-123.056190,-73.791245,0.000000
12418,1.930755,1.594398,0.000000,-122.155968,-73.183388,0.000000
12419,2.950923,2.741774,0.000000,-120.225212,-71.588989,0.000000
12420,0.160905,-3.799273,0.000000,-117.243179,-69.245689,0.000000
12421,-0.649152,-1.969709,0.000000,-117.082275,-73.044960,0.000000
12422,-0.880486,-0.314228,0.000000,-117.731430,-75.014671,0.000000
12423,-0.830436,1.183635,0.000000,-118.611916,-75.328896,0.000000
12424,-0.487147,2.623419,0.000000,-119.442352,-74.145264,0.000000
12425,0.668806,3.789688,0.000000,-119.929497,-71.521843,0.000000
12426,2.064884,-3.160077,0.000000,-118.365494,-69.291763,0.000000
12427,0.689828,-1.674333,0.000000,-116.300606,-72.451843,0.000000
12428,-0.276213,-0.327811,0.000000,-115.610779,-74.126175,0.000000
12429,-1.043733,0.941975,0.000000,-115.886993,-74.453987,0.000000
12430,-1.677361,2.272450,0.000000,-116.930725,-73.512016,0.000000
12431,-1.722922,3.908269,0.000000,-118.608086,-71.239563,0.000000
12432,1.796109,-2.469697,0.000000,-119.528648,-70.639977,0.000000
12433,1.096303,-0.632856,0.000000,-117.732536,-73.109673,0.000000
12434,0.214490,0.797616,0.000000,-116.636230,-73.742531,0.000000
12435,-0.814513,1.992265,0.000000,-116.421738,-72.944916,0.000000
12436,-2.274379,2.763041,0.000000,-117.236252,-70.952652,0.000000
12437,0.216325,-4.243899,0.000000,-119.357552,-69.382401,0.000000
12438,0.370097,-2.193677,0.000000,-119.141228,-73.626297,0.000000
12439,0.338236,-0.556320,0.000000,-118.771133,-75.819977,0.000000
12440,0.236783,0.859214,0.000000,-118.432899,-76.376297,0.000000
12441,0.068708,2.211581,0.000000,-118.196114,-75.517082,0.000000
12442,-0.246097,3.625313,0.000000,-118.127403,-73.305504,0.000000
12443,-1.708152,1.999979,0.000000,-118.373497,-69.680191,0.000000
